course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220000.0
Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate,630000.0
Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540000.0
Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner,110000.0
The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,22000.0
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20000.0
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,100000.0
Stanford Introduction to Food and Health,Stanford University,COURSE,4.7,Beginner,370000.0
Writing in the Sciences,Stanford University,COURSE,4.9,Beginner,140000.0
Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,Beginner,96000.0
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,COURSE,4.7,Mixed,150000.0
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57000.0
Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed,120000.0
Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160000.0
Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94000.0
Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80000.0
Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120000.0
Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150000.0
Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97000.0
Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99000.0
The DIY Musician,Berklee College of Music,SPECIALIZATION,4.8,Beginner,120000.0
Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate,23000.0
Social Psychology,Wesleyan University,COURSE,4.7,Beginner,220000.0
Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,220000.0
Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65000.0
Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.6,Beginner,330000.0
Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner,260000.0
What is Data Science?,IBM,COURSE,4.7,Beginner,260000.0
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140000.0
Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68000.0
Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23000.0
Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,200000.0
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,100000.0
Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70000.0
Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,57000.0
Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner,110000.0
The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,84000.0
IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35000.0
Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,180000.0
Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner,240000.0
Modern Art & Ideas,The Museum of Modern Art,COURSE,4.7,Beginner,310000.0
Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57000.0
Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190000.0
Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner,89000.0
Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,SPECIALIZATION,4.7,Beginner,160000.0
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210000.0
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,340000.0
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150000.0
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36000.0
Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51000.0
Python Data Structures,University of Michigan,COURSE,4.9,Mixed,420000.0
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80000.0
First Step Korean,Yonsei University,COURSE,4.9,Beginner,400000.0
Private Equity and Venture Capital,Università Bocconi,COURSE,4.8,Mixed,79000.0
G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10000.0
Organizational Leadership,Northwestern University,SPECIALIZATION,4.7,Intermediate,92000.0
User Experience Research and Design,University of Michigan,SPECIALIZATION,4.8,Beginner,23000.0
The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.8,Beginner,320000.0
Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30000.0
Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8700.0
Science of Exercise,University of Colorado Boulder,COURSE,4.8,Beginner,140000.0
Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110000.0
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270000.0
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56000.0
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,72000.0
Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24000.0
Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,34000.0
Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150000.0
AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12000.0
Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20000.0
Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14000.0
Машинное обучение и анализ данных,E-Learning Development Fund,SPECIALIZATION,4.7,Intermediate,77000.0
The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner,23000.0
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5300.0
The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner,130000.0
Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,220000.0
Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170000.0
The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,Intermediate,100000.0
Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed,67000.0
Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,93000.0
Game Theory,Stanford University,COURSE,4.6,Beginner,260000.0
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22000.0
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,21000.0
What Is Contemporary Art?,The Museum of Modern Art,COURSE,4.7,Beginner,120000.0
Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9400.0
Tools for Data Science,IBM,COURSE,4.6,Beginner,120000.0
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14000.0
Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,210000.0
Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76000.0
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220000.0
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270000.0
Python for Data Science and AI,IBM,COURSE,4.6,Beginner,170000.0
UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44000.0
Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced,39000.0
Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43000.0
Искусство разработки на современном C++,E-Learning Development Fund,SPECIALIZATION,4.9,Intermediate,68000.0
Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320000.0
Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100000.0
An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23000.0
SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,370000.0
Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,30000.0
Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290000.0
Финансовые инструменты для частного инвестора,National Research University Higher School of Economics,SPECIALIZATION,4.7,Beginner,38000.0
Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200000.0
Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110000.0
Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110000.0
Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,Intermediate,18000.0
Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate,120000.0
Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,180000.0
Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,16000.0
Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14000.0
Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120000.0
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner,24000.0
Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42000.0
English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed,760000.0
Moral Foundations of Politics,Yale University,COURSE,4.8,Mixed,100000.0
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28000.0
Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15000.0
Crash Course on Python,Google,COURSE,4.8,Beginner,81000.0
Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,7000.0
Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,290000.0
Web Applications for Everybody,University of Michigan,SPECIALIZATION,4.8,Intermediate,120000.0
Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32000.0
Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97000.0
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,COURSE,4.8,Mixed,190000.0
Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,60000.0
Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390000.0
Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42000.0
Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,220000.0
Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner,82000.0
Étudier en France: French Intermediate course B1-B2,École Polytechnique,COURSE,4.8,Intermediate,190000.0
Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed,79000.0
International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35000.0
Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110000.0
Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49000.0
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75000.0
Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,Beginner,51000.0
Data Science Methodology,IBM,COURSE,4.6,Beginner,89000.0
Using Python to Access Web Data,University of Michigan,COURSE,4.8,Mixed,310000.0
Sports Marketing,Northwestern University,COURSE,4.7,Intermediate,12000.0
Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71000.0
Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,68000.0
From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26000.0
Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200000.0
Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,Beginner,54000.0
Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100000.0
Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,240000.0
Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,18000.0
Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64000.0
Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56000.0
Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57000.0
Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40000.0
Write Professional Emails in English,Georgia Institute of Technology,COURSE,4.7,Mixed,270000.0
Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170000.0
Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner,20000.0
Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,Mixed,72000.0
TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12000.0
Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,76000.0
Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72000.0
Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.3,Beginner,68000.0
Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33000.0
C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,36000.0
Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner,140000.0
"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22000.0
English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,230000.0
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,22000.0
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120000.0
International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41000.0
Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed,83000.0
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate,150000.0
Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43000.0
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",COURSE,4.7,Beginner,32000.0
Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,Beginner,67000.0
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,62000.0
Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Mixed,370000.0
Программирование на Python,Mail.Ru Group,SPECIALIZATION,4.5,Intermediate,52000.0
Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,37000.0
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26000.0
Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,9000.0
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner,50000.0
Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,81000.0
Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14000.0
The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Mixed,420000.0
Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8100.0
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12000.0
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,86000.0
Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78000.0
Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17000.0
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner,130000.0
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,67000.0
Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68000.0
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,100000.0
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25000.0
Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32000.0
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate,250000.0
"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11000.0
Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69000.0
Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,13000.0
Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60000.0
Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180000.0
Understanding Research Methods,SOAS University of London,COURSE,4.5,Mixed,120000.0
Value Chain Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,63000.0
Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner,110000.0
Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58000.0
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69000.0
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29000.0
"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37000.0
Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110000.0
Behavioral Finance,Duke University,COURSE,4.4,Mixed,55000.0
Introductory Human Physiology,Duke University,COURSE,4.7,Mixed,270000.0
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52000.0
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.6,Mixed,180000.0
Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27000.0
The Global Financial Crisis,Yale University,COURSE,4.8,Mixed,84000.0
Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,32000.0
Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37000.0
Data Analysis with Python,IBM,COURSE,4.7,Beginner,110000.0
Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,86000.0
Python Basics,University of Michigan,COURSE,4.8,Beginner,110000.0
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19000.0
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110000.0
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",COURSE,4.6,Mixed,47000.0
AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4000.0
Project Launch,"University of California, Irvine",COURSE,4.7,Beginner,190000.0
Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate,14000.0
"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140000.0
Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260000.0
Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,Advanced,140000.0
Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,170000.0
Construction Project Management,Columbia University,COURSE,4.8,Beginner,43000.0
Positive Psychology,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed,180000.0
Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7900.0
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49000.0
Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28000.0
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39000.0
Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,14000.0
Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,23000.0
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,COURSE,4.8,Beginner,90000.0
"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,47000.0
Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,220000.0
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,10000.0
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36000.0
English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,130000.0
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,Advanced,16000.0
Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,43000.0
Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Mixed,29000.0
Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,220000.0
Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,270000.0
Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,8800.0
Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310000.0
Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120000.0
Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69000.0
