artist,album,track_name,track_id,energy,danceability,key,loudness,acousticness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,genre
Lil Mosey,Certified Hitmaker,Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,0.554,0.774,0,-7.909,0.207,0.0383,0.0,0.132,0.349,99.034,162547.0,Hip-Hop/Rap
Justin Bieber,Changes,Intentions (Feat. Quavo),4umIPjkehX1r7uhmGvXiSV,0.546,0.806,9,-6.637,0.3,0.0575,0.0,0.102,0.874,147.986,212867.0,Pop
Drake,Dark Lane Demo Tapes,Toosie Slide,466cKvZn1j45IpxDdYZqdA,0.49,0.83,1,-8.82,0.289,0.209,3.04e-06,0.113,0.845,81.604,247059.0,Hip-Hop/Rap
Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),Before You Go,2gMXnyrvIjhVBUZwvLZDMP,0.575,0.459,3,-4.858,0.604,0.0573,0.0,0.0885,0.183,111.881,215107.0,Alternative/Indie
Doja Cat,Hot Pink,Say So,3Dv1eDb0MEgF93GpLXlucZ,0.673,0.787,11,-4.577,0.256,0.158,3.57e-06,0.0904,0.786,110.962,237893.0,R&B/Soul
Maroon 5,Memories,Memories,2b8fOow8UzyDFAE27YhOZM,0.32,0.764,11,-7.209,0.837,0.0546,0.0,0.0822,0.575,91.019,189486.0,Pop
Future,High Off Life,Life Is Good (Feat. Drake),1K5KBOgreBi5fkEHvg5ap3,0.574,0.795,2,-6.903,0.067,0.487,0.0,0.15,0.537,142.053,237918.0,Hip-Hop/Rap
Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,0.481,0.767,0,-8.52,0.234,0.0803,0.0,0.269,0.761,150.076,171375.0,Hip-Hop/Rap
Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,0.771,0.676,8,-3.675,0.0237,0.0483,7e-06,0.102,0.569,99.048,207133.0,Pop
Topic,Breaking Me,Breaking Me,3H7ihDc1dqLriiWXwsc2po,0.72,0.789,8,-5.652,0.223,0.218,0.0,0.129,0.664,122.031,166794.0,Dance/Electronic
24Kgoldn,Mood (Feat. Iann Dior),Mood (Feat. Iann Dior),3tjFYV6RSFtuktYl3ZtYcq,0.722,0.7,7,-3.558,0.221,0.0369,0.0,0.272,0.756,90.989,140526.0,Pop Rap
Billie Eilish,Everything I Wanted,Everything I Wanted,3ZCTVFBt2Brf31RLEnCkWJ,0.225,0.704,6,-12.453,0.902,0.0994,0.657,0.106,0.243,120.006,245426.0,Pop
Shawn Mendes,Shawn Mendes (Deluxe),Señorita,6v3KW9xbzN5yKLt9YKDYA2,0.548,0.759,9,-6.049,0.0392,0.029,0.0,0.0828,0.749,116.967,190800.0,Pop
Billie Eilish,"When We All Fall Asleep, Where Do We Go?",Bad Guy,2Fxmhks0bxGSBdJ92vM42m,0.425,0.701,7,-10.965,0.328,0.375,0.13,0.1,0.562,135.128,194088.0, Electro-Pop
Cardi B,Wap (Feat. Megan Thee Stallion),Wap (Feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,0.454,0.935,1,-7.509,0.0194,0.375,0.0,0.0824,0.357,133.073,187541.0,Hip-Hop/Trap
Surfaces,Where The Light Is,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,0.525,0.878,5,-6.832,0.183,0.0578,0.0,0.0714,0.694,112.022,158571.0, Electro-Pop
Eminem,Music To Be Murdered By,Godzilla (Feat. Juice Wrld),7FIWs0pqAYbP91WWM0vlTQ,0.745,0.808,10,-5.26,0.145,0.342,0.0,0.292,0.829,165.995,210800.0,Hip-Hop/Rap
Justin Bieber,Changes,Yummy,16wAOAZ2OkqoIDN7TpChjR,0.506,0.676,9,-6.652,0.345,0.0958,0.0,0.118,0.497,145.842,208520.0,Pop
Dua Lipa,Future Nostalgia,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,0.729,0.73,4,-3.434,0.167,0.0883,1.39e-06,0.349,0.467,113.013,221820.0,Dance-Pop/Disco
Bts,Dynamite (Daytime Version),Dynamite,0t1kP63rueHleOhQkYSXFY,0.765,0.746,6,-4.41,0.0112,0.0993,0.0,0.0936,0.737,114.044,199054.0,Disco-Pop
Benee,Hey U X,Supalonely (Feat. Gus Dapperton),3GZoWLVbmxcBys6g0DLFLf,0.631,0.862,7,-4.746,0.291,0.0515,0.000209,0.123,0.841,128.978,223488.0,Alternative/Indie
Surf Mesa,Ily (I Love You Baby) (Feat. Emilee),Ily (I Love You Baby) (Feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,0.774,0.674,11,-7.567,0.0686,0.0892,0.00188,0.393,0.33,112.05,176547.0,Dance/Electronic
Lady Gaga,Chromatica,Rain On Me (With Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,0.855,0.672,9,-3.764,0.021,0.0397,0.0,0.323,0.646,123.056,182200.0,Pop
Travis Scott,Highest In The Room,Highest In The Room,3eekarcy7kvN4yt5ZFzltW,0.427,0.598,7,-8.764,0.0546,0.0317,5.83e-06,0.21,0.0605,76.469,175721.0,Hip-Hop/Rap
Post Malone,Hollywood'S Bleeding,Sunflower - Spider-Man: Into The Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,0.522,0.755,2,-4.368,0.533,0.0575,0.0,0.0685,0.925,89.96,157560.0,Dreampop/Hip-Hop/R&B
Maluma,Papi Juancho,Hawái,1yoMvmasuxZfqHEipJhRbp,0.727,0.783,6,-3.454,0.185,0.389,2.46e-05,0.0626,0.558,180.067,199112.0,Pop
Regard,Ride It,Ride It,2tnVG71enUj33Ic2nFN6kZ,0.751,0.88,7,-4.258,0.177,0.0874,6.43e-05,0.106,0.884,117.948,157606.0,Dance/Electronic
Travis Scott,Birds In The Trap Sing Mcknight,Goosebumps,6gBFPUFcJLzWGx4lenP6h2,0.728,0.841,7,-3.37,0.0847,0.0484,0.0,0.149,0.43,130.049,243837.0,Hip-Hop/Rap
Black Eyed Peas,Translation,Ritmo (Bad Boys For Life),4NCsrTzgVfsDo8nWyP8PPc,0.704,0.723,10,-7.088,0.0259,0.0571,0.00109,0.792,0.684,105.095,214935.0,Pop
The Scotts,The Scotts,The Scotts,39Yp9wwQiSRIDOvrVg7mbk,0.537,0.716,0,-7.648,0.233,0.0514,0.0,0.157,0.28,129.979,165978.0,Hip-Hop/Rap
Bad Bunny,Yhlqmdlg,Safaera,2DEZmgHKAvm41k4J3R2E9Y,0.829,0.607,2,-4.074,0.0103,0.379,0.0,0.107,0.685,96.172,273891.75,Alternative/Reggaeton/Experimental
Billie Eilish,Lovely (With Khalid),Lovely (With Khalid),0u2P5u6lvoDfwTYjAADbn4,0.296,0.351,4,-10.109,0.934,0.0333,0.0,0.095,0.12,115.284,200186.0,Chamber Pop
Juice Wrld,Goodbye & Good Riddance,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,0.566,0.511,6,-7.23,0.349,0.2,0.0,0.34,0.218,83.903,239836.0,Pop
Ariana Grande,Stuck With U,Stuck With U (With Justin Bieber),4HBZA5flZLE435QTztThqH,0.45,0.597,8,-6.658,0.223,0.0418,0.0,0.382,0.537,178.765,228482.0,Pop
Jp Saxe,If The World Was Ending (Feat. Julia Michaels),If The World Was Ending - Feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,0.473,0.464,1,-10.086,0.866,0.129,0.0,0.109,0.604,75.801,208687.0,Pop
Dua Lipa,Future Nostalgia,Physical,3AzjcOeAmA57TIOr9zF1ZW,0.844,0.647,0,-3.756,0.0137,0.0457,0.000658,0.102,0.746,146.967,193829.0,Dance/Electronic
Travis Scott,Astroworld,Sicko Mode,2xLMifQCjDGFmkHkpNLD9h,0.73,0.834,8,-3.714,0.00513,0.222,0.0,0.124,0.446,155.008,273891.75,Hip-Hop/Rap
